area_code,area_name,geography,period,indicator,measure,unit,sex,age_group,value
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 10 to 14 years,17793
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 15 to 19 years,17922
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 20 to 24 years,18071
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 25 to 29 years,18285
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 30 to 34 years,17195
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 35 to 39 years,18544
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 40 to 44 years,20981
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 45 to 49 years,20058
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 50 to 54 years,17565
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 55 to 59 years,15344
E08000001,Bolton,Local authority,2011-03-27,Usual resident population by sex and age group,Count,Usual residents,Persons,Aged 60 to 64 years,16845
