date,count,rate,wd15cd,wd15nm,lad15cd,lad15nm
2015-02-01,115,1.3,E05000784,Cheadle and Gatley,E08000007,Stockport
2015-02-01,135,1.7,E05000785,Cheadle Hulme North,E08000007,Stockport
2015-02-01,90,1.1,E05000786,Cheadle Hulme South,E08000007,Stockport
2015-02-01,290,2.9,E05000787,Davenport and Cale Green,E08000007,Stockport
2015-02-01,255,2.6,E05000788,Edgeley and Cheadle Heath,E08000007,Stockport
2015-02-01,125,1.5,E05000789,Hazel Grove,E08000007,Stockport
2015-02-01,95,1.2,E05000790,Heald Green,E08000007,Stockport
2015-02-01,145,1.7,E05000791,Heatons North,E08000007,Stockport
2015-02-01,160,1.8,E05000792,Heatons South,E08000007,Stockport
2015-02-01,175,2,E05000793,Manor,E08000007,Stockport
2015-02-01,65,0.9,E05000794,Marple North,E08000007,Stockport
2015-02-01,80,1.2,E05000795,Marple South,E08000007,Stockport
2015-02-01,170,2,E05000796,Offerton,E08000007,Stockport
2015-02-01,215,2.3,E05000797,Reddish North,E08000007,Stockport
2015-02-01,215,2.4,E05000798,Reddish South,E08000007,Stockport
2015-02-01,75,1,E05000799,Stepping Hill,E08000007,Stockport
2015-02-01,215,3.1,E05000800,Ashton Hurst,E08000008,Tameside
2015-02-01,225,2.9,E05000801,Ashton St Michael's,E08000008,Tameside
2015-02-01,185,2.6,E05000802,Ashton Waterloo,E08000008,Tameside
2015-02-01,150,1.9,E05000803,Audenshaw,E08000008,Tameside
2015-02-01,165,2.3,E05000804,Denton North East,E08000008,Tameside
2015-02-01,200,3.1,E05000805,Denton South,E08000008,Tameside
2015-02-01,120,1.7,E05000806,Denton West,E08000008,Tameside
2015-02-01,155,2,E05000807,Droylsden East,E08000008,Tameside
2015-02-01,160,2.3,E05000808,Droylsden West,E08000008,Tameside
2015-02-01,230,2.9,E05000809,Dukinfield,E08000008,Tameside
2015-02-01,165,2.4,E05000810,Dukinfield Stalybridge,E08000008,Tameside
2015-02-01,210,2.9,E05000811,Hyde Godley,E08000008,Tameside
2015-02-01,220,2.5,E05000812,Hyde Newton,E08000008,Tameside
2015-02-01,145,2.1,E05000813,Hyde Werneth,E08000008,Tameside
2015-02-01,150,2.5,E05000814,Longdendale,E08000008,Tameside
2015-02-01,155,2.1,E05000815,Mossley,E08000008,Tameside
2015-02-01,390,4.6,E05000816,St Peter's,E08000008,Tameside
2015-02-01,295,3.7,E05000817,Stalybridge North,E08000008,Tameside
2015-02-01,190,2.7,E05000818,Stalybridge South,E08000008,Tameside
2015-02-01,65,0.8,E05000819,Altrincham,E08000009,Trafford
2015-02-01,60,1,E05000820,Ashton upon Mersey,E08000009,Trafford
2015-02-01,45,0.9,E05000821,Bowdon,E08000009,Trafford
2015-02-01,105,1.2,E05000822,Broadheath,E08000009,Trafford
2015-02-01,40,0.6,E05000823,Brooklands,E08000009,Trafford
2015-02-01,230,3.6,E05000824,Bucklow-St Martins,E08000009,Trafford
2015-02-01,305,3.7,E05000825,Clifford,E08000009,Trafford
2015-02-01,70,1.2,E05000826,Davyhulme East,E08000009,Trafford
2015-02-01,70,1.1,E05000827,Davyhulme West,E08000009,Trafford
2015-02-01,65,1,E05000828,Flixton,E08000009,Trafford
2015-02-01,210,2.6,E05000829,Gorse Hill,E08000009,Trafford
